,시,이름,매장명,주소
5204,인천,컴포즈커피,인천검바위점,인천 서구 서곶로 489 101동 105호
5205,광주,컴포즈커피,광주금호한국점,광주 서구 운천로16번길 3 (금호동)
5206,대전,컴포즈커피,대전한남대점,대전 동구 한남로 15 (홍도동)
5207,전북,컴포즈커피,전주혁신도시점,전북 완주군 이서면 오공로 11-18 102호
5208,서울,컴포즈커피,석관시장점,서울 성북구 돌곶이로18길 4 (석관동)
5209,경기,컴포즈커피,부천옥길지음프라자점,경기 부천시 양지로 208 1층 107호
5210,부산,컴포즈커피,부산역아스티점,부산 동구 중앙대로214번길 7-8 (초량동)
5211,경남,컴포즈커피,창원썬앤빌점,경남 창원시 의창구 용동로 45 썬앤빌더스퀘어 G동 101호
5212,경기,컴포즈커피,광명아크포레자이점,"경기 광명시 새터로 44-7 (광명동, 광명아크포레자이위브)"
5213,제주,컴포즈커피,제주서사라점,제주특별자치도 제주시 서광로 218 1층
5214,광주,컴포즈커피,광주문흥대주점,광주 북구 평교로29번길 1 (문흥동)
5215,인천,컴포즈커피,인천주안DS점,"인천 미추홀구 주안서로 18 102, 103호"
5216,인천,컴포즈커피,부평한라비발디점,인천 부평구 대정로 7 부평한라비발디 105호
5217,부산,컴포즈커피,부산롯데월드점,부산 기장군 기장읍 기장해안로 172 (시랑리)
5218,서울,컴포즈커피,쌍문현대점,서울 도봉구 해등로 218 (쌍문동)
5219,경기,컴포즈커피,화성병점중앙로점,경기 화성시 효행로 1009 (진안동)
5220,서울,컴포즈커피,목동모세미점,서울 양천구 목동중앙남로 7-1 1층 101호
5221,경기,컴포즈커피,광명도덕점,경기 광명시 도덕공원로 21-1 B02호
5222,부산,컴포즈커피,학장점,부산 사상구 대동로 137 1층
5223,부산,컴포즈커피,해운대백병원점,"부산 해운대구 좌동순환로249번길 21  1층 102호 (좌동, 아이에스프라자)"
5224,대구,컴포즈커피,대구두류역점,"대구 달서구 달구벌대로 1770 (두류동, 두류역 아이작큐브 오피스텔)"
5225,광주,컴포즈커피,광주연제호수공원점,광주 북구 양산제로 113 (연제동)
5226,서울,컴포즈커피,화양사거리점,"서울 성동구 아차산로17길 57 (성수동2가, 일신건영휴먼테코)"
5227,부산,컴포즈커피,서면아이파크점,부산 부산진구 동성로 47 (전포동)
5228,충북,컴포즈커피,청주테크노폴리스점,"충북 청주시 흥덕구 송화로184번길 10  에스제이빌딩 105,106호 (송절동)"
5229,서울,컴포즈커피,마포염리초점,"서울 마포구 토정로37길 41 (염리동, 하나프라자)"
5230,경기,컴포즈커피,성남산성점,경기 성남시 수정구 수정로 341 단지내동문 상가 101호
5231,서울,컴포즈커피,신월사거리점,서울 양천구 남부순환로40길 2 (신월동)
5232,서울,컴포즈커피,답십리점,서울 동대문구 천호대로 313 1층 9호
5233,서울,컴포즈커피,광진아차산점,서울 광진구 자양로 312 1층 1-1호 욱현빌딩
5234,경기,컴포즈커피,판교파미어스몰점,경기 성남시 수정구 창업로 17 C2블록 1층 102-2 판교제2테크노밸리
5235,서울,컴포즈커피,방이미성점,서울 송파구 오금로 247 (방이동)
5236,서울,컴포즈커피,방학선덕점,서울 도봉구 시루봉로 59 101호
5237,제주,컴포즈커피,제주연동점,"제주특별자치도 제주시 과원북4길 89 (연동, 연동빌딩)"
5238,경기,컴포즈커피,오산궐동점,경기 오산시 궐동로 1 101호
5239,인천,컴포즈커피,송도해양경찰청점,인천 연수구 해돋이로 118 103호
5240,부산,컴포즈커피,대연성당점,부산 남구 용소로8번길 48  102호 (대연동)
